Title: Composition: Survivor Passport - PanCareSurPass Project HL7 FHIR Implementation Guide v0.2.0

                                                                                       0                                                                                        1                                                                                        2                                                                                        3                                       4
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                                                                                             Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
                           code                           NaN                          1..1                                                                                         code                                                                                                                                                       Symbol in syntax defined by the system Fixed Value: section-rt
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
               Slices for entry                             C                          1..*                                                     Reference(Procedure | DocumentReference)                                                                                                                                             Radiotherapy Slice: Unordered, Open by type:resolve(), profile:resolve()
             entry:radiotherapy                             C                          0..*                                                           Reference(Procedure: Radiotherapy)                                                                                                                                                                       A reference to data that supports this section
                    entry:boost                             C                          0..*                                                     Reference(Procedure: Radiotherapy Boost)                                                                                                                                                                                                   Radiotherapy Boost
                   entry:shield                             C                          0..*                                                 Reference(Procedure: Radiotherapy Shielding)                                                                                                                                                                                               Radiotherapy Shielding
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
           section:majorSurgery                             C                          0..1                                                                              BackboneElement                                                                                                                                                                                       History of Surgical procedures
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                                                                                                                                     Identity of the terminology system Fixed Value: http://loinc.org
                           code                           NaN                          1..1                                                                                         code                                                                                                                                                           Symbol in syntax defined by the system Fixed Value: 8690-0
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
               Slices for entry                             C                          1..*                                                     Reference(Procedure | DocumentReference)                                                                                                                                            Major Surgery Slice: Unordered, Open by type:resolve(), profile:resolve()
                entry:procedure                             C                          0..*                                                                Reference(Procedure: Surgery)                                                                                                                                                                                                   Surgical procedure
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
             section:otherInfos                             C                          0..1                                                                              BackboneElement                                                                                                                                                                                            Other Medical Information
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                                                                                                                                     Identity of the terminology system Fixed Value: http://loinc.org
                           code                           NaN                          1..1                                                                                         code                                                                                                                                                          Symbol in syntax defined by the system Fixed Value: 55752-0
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
               Slices for entry                             C                          0..*                                         Reference(Condition | Procedure | DocumentReference)                                                                                                                                              Other infos Slice: Unordered, Open by type:resolve(), profile:resolve()
        entry:conditionToxicity                             C                          0..*                                                        Reference(Condition: Severe Toxicity)                                                                                                                                                                                           Condition: Severe Toxicity
      entry:conditionOtherInfos                             C                          0..*                                                                 Reference(Condition: Others)                                                                                                                                                                                                     Other Conditions
             entry:procedureCVC                             C                          0..*                                                               Reference(Procedure: Catheter)                                                                                                                                                                                                  Procedure: Catheter
     entry:procedureTransfusion                             C                          0..*                                                Reference(Procedure: Transfusion other infos)                                                                                                                                                                                               Procedure: Transfusion
entry:procedureCryopreservation                             C                          0..*                                                       Reference(Procedure: Cryopreservation)                                                                                                                                                                                          Procedure: Cryopreservation
  entry:procedureOtherTreatment                             C                          0..*                                                       Reference(Procedure: Other Treatments)                                                                                                                                                                                          Procedure: Other Treatments
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
      section:medicalSuggestion                             C                          0..1                                                                              BackboneElement                                                                                                                                                                                                  Medical Suggestions
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                                                                                             Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
                           code                           NaN                          1..1                                                                                         code                                                                                                                                               Symbol in syntax defined by the system Fixed Value: section-suggestion
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
        section:otherConditions                             C                          0..1                                                                              BackboneElement                                                                                                                                                                                              Other Health Conditions
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                                                                                             Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
                           code                           NaN                          1..1                                                                                         code                                                                                                                                          Symbol in syntax defined by the system Fixed Value: section-otherConditions
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
               section:carePlan                             C                          0..1                                                                              BackboneElement                                                       Plan of Care Section cmp-1: A section must contain at least one of text, entries, or sub-sections cmp-2: A section can only have an emptyReason if it is empty
              modifierExtension                           ?!Σ                          0..*                                                                                    Extension                                                                                                                                                               Extensions that cannot be ignored even if unrecognized
                          title                           NaN                          1..1                                                                                       string                                                                                                                                                                                     Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                                     Classification of section (recommended) Binding: DocumentSectionCodes (example): Classification of a section of a composition/document. Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                                                                                                                                     Identity of the terminology system Fixed Value: http://loinc.org
                           code                           NaN                          1..1                                                                                         code                                                                                                                                                          Symbol in syntax defined by the system Fixed Value: 18776-5
                           text                             C                          1..1                                                                                    Narrative                                                                                                                                                                Text summary of the section, for human interpretation
               Slices for entry                             C                          1..*                                                      Reference(CarePlan | DocumentReference)                                                                                                                                                Care Plan Slice: Unordered, Open by type:resolve(), profile:resolve()
                 entry:carePlan                             C                          1..*                                                     Reference(CarePlan: PCSP-generated plan)                                                                                                                                                                       A reference to data that supports this section
                    emptyReason                             C                          0..1                                                                              CodeableConcept                                                                                                             Why this section is empty Binding: ListEmptyReasons (preferred): If a section is empty, why it is empty.
  Documentation for this format Documentation for this format Documentation for this format                                                                Documentation for this format                                                                                                                                                                                        Documentation for this format

                                                                                          0           1                                                                                                               2   3
                                                                                       Path Conformance                                                                                                 ValueSet / Code URI
                                                                         Composition.status    required                    CompositionStatushttp://hl7.org/fhir/ValueSet/composition-status|4.0.1from the FHIR Standard NaN
                                                                           Composition.type   preferred                                Pattern: surpasshttp://hl7.org/fhir/ValueSet/doc-typecodesfrom the FHIR Standard NaN
                                                                  Composition.attester.mode    required CompositionAttestationModehttp://hl7.org/fhir/ValueSet/composition-attestation-mode|4.0.1from the FHIR Standard NaN
                                                               Composition.section:flt.code     example                 Pattern: LOINC Code 72135-7http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                                        Composition.section:flt.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                          Composition.section:flt.section:chemotherapy.code     example                 Pattern: LOINC Code 11486-8http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                   Composition.section:flt.section:chemotherapy.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                               Composition.section:flt.section:stemCellTransplantation.code     example                        Pattern: section-scthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                        Composition.section:flt.section:stemCellTransplantation.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                          Composition.section:flt.section:radiotherapy.code     example                         Pattern: section-rthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                   Composition.section:flt.section:radiotherapy.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                          Composition.section:flt.section:majorSurgery.code     example                  Pattern: LOINC Code 8690-0http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                   Composition.section:flt.section:majorSurgery.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                            Composition.section:flt.section:otherInfos.code     example                 Pattern: LOINC Code 55752-0http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                     Composition.section:flt.section:otherInfos.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                     Composition.section:flt.section:medicalSuggestion.code     example                 Pattern: section-suggestionhttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                              Composition.section:flt.section:medicalSuggestion.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                       Composition.section:flt.section:relapseAfterEOT.code     example            Pattern: section-relapseAfterEOThttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                  Composition.section:flt.section:relapseAfterEOT.section:chemotherapy.code     example                 Pattern: LOINC Code 11486-8http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
           Composition.section:flt.section:relapseAfterEOT.section:chemotherapy.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
       Composition.section:flt.section:relapseAfterEOT.section:stemCellTransplantation.code     example                        Pattern: section-scthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
Composition.section:flt.section:relapseAfterEOT.section:stemCellTransplantation.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                  Composition.section:flt.section:relapseAfterEOT.section:radiotherapy.code     example                         Pattern: section-rthttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
           Composition.section:flt.section:relapseAfterEOT.section:radiotherapy.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                  Composition.section:flt.section:relapseAfterEOT.section:majorSurgery.code     example                  Pattern: LOINC Code 8690-0http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
           Composition.section:flt.section:relapseAfterEOT.section:majorSurgery.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                    Composition.section:flt.section:relapseAfterEOT.section:otherInfos.code     example                 Pattern: LOINC Code 55752-0http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
             Composition.section:flt.section:relapseAfterEOT.section:otherInfos.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
             Composition.section:flt.section:relapseAfterEOT.section:medicalSuggestion.code     example                 Pattern: section-suggestionhttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
      Composition.section:flt.section:relapseAfterEOT.section:medicalSuggestion.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                       Composition.section:flt.section:otherConditions.code     example            Pattern: section-otherConditionshttp://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                Composition.section:flt.section:otherConditions.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN
                                                          Composition.section:carePlan.code     example                 Pattern: LOINC Code 18776-5http://hl7.org/fhir/ValueSet/doc-section-codesfrom the FHIR Standard NaN
                                                   Composition.section:carePlan.emptyReason   preferred                            ListEmptyReasonshttp://hl7.org/fhir/ValueSet/list-empty-reasonfrom the FHIR Standard NaN

                           Name                         Flags                         Card.                                                                                         Type                                                                                                                                                                                            Description & Constraints
                    Composition                           NaN                          0..*                                                                                  Composition                                                                                                                      A set of resources composed into a single coherent clinical statement with clinical attestation
                             id                             Σ                          0..1                                                                                           id                                                                                                                                                                                          Logical id of this artifact
                           meta                             Σ                          0..1                                                                                         Meta                                                                                                                                                                                          Metadata about the resource
                  implicitRules                           ?!Σ                          0..1                                                                                          uri                                                                                                                                                                  A set of rules under which this content was created
                       language                           NaN                          0..1                                                                                         code                                                                         Language of the resource content Binding: CommonLanguages (preferred): A human language. Additional BindingsPurpose AllLanguages Max Binding
                           text                           NaN                          0..1                                                                                    Narrative                                                                                                                                                               Text summary of the resource, for human interpretation
                      contained                           NaN                          0..*                                                                                     Resource                                                                                                                                                                                          Contained, inline Resources
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
              modifierExtension                            ?!                          0..*                                                                                    Extension                                                                                                                                                                                    Extensions that cannot be ignored
                     identifier                             Σ                          0..1                                                                                   Identifier                                                                                                                                                                                 Business identifier for this SurPass
                         status                           ?!Σ                          1..1                                                                                         code                                                                                   preliminary|final|amended|entered-in-error Binding: CompositionStatus (required): The workflow/clinical status of the composition.
                           type                             Σ                          1..1                                                                              CodeableConcept                                                                  Kind of composition (LOINC if possible) Binding: FHIRDocumentTypeCodes (preferred): Type of a composition. Required Pattern: At least the following
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         coding                           NaN                          1..*                                                                                       Coding                                                                                                                                                          Code defined by a terminology system Fixed Value: (complex)
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                                                        Additional content defined by implementations
                         system                           NaN                          1..1                                                                                          uri                                                                                                             Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
                        version                           NaN                          0..1                                                                                       string                                                                                                                                                                                  Version of the system - if relevant
                           code                           NaN                          1..1                                                                                         code                                                                                                                                                          Symbol in syntax defined by the system Fixed Value: surpass
                        display                           NaN                          0..1                                                                                       string                                                                                                                                                                                 Representation defined by the system
                   userSelected                           NaN                          0..1                                                                                      boolean                                                                                                                                                                       If this coding was chosen directly by the user
                           text                           NaN                          0..1                                                                                       string                                                                                                                                                                             Plain text representation of the concept
                             id                           NaN                          0..1                                                                                       string                                                                                                                                                                              Unique id for inter-element referencing
                      extension                           NaN                          0..*                                                                                    Extension                                                                                                                                    Additional content defined by implementations Slice: Unordered, Open by value:url
